track,album,lyrics
Dying For Your Love,The Lonny Breaux Collection, do you remember that october night the 29th i almost lost my life call myself being the hero tryna guard your heart no matter how hard i fought it was over before it started i thought that we were on the same side of the battle oh im on the front line of disaster now all make sense ive put it together guess what we have doesnt matter oh you have me dying every night just because you have me fighting every night to prove my love cause we never get enough of fighting in the club im dying for your love i dont know what you want you got me fighting every night to prove my love all i ever did was just try to play my part try to be the man who would not let you get taken advantage of but you let it go on and every time i see you with him i wanna crack his dome tell me that im wrong but i thought we were on the same side of the battle oh im on the front line of disaster now all make sense ive put it together guess what we have doesnt matter oh you have me dying every night just because you have me fighting every night to prove my love cause we never get enough of fighting in the club im dying for your love i dont know what you want you got me fighting every night to prove my love you got me dying fighting every night dying fighting every night you have me dying every night just because you have me fighting every night to prove my love cause we never get enough of fighting in the club im dying for your love i dont know what you want you got me fighting every night to prove my love on the same side of the battle oh 
Flight,The Lonny Breaux Collection, yeah im hitchhiking love could you take me to the hills im not heavy no i promise i heard you could fly could you try we can drive for miles till no one can see but just you and me im spending too much time on the ground baby please show me how how you do it and dont ever let me down dont try to hide it cause id see your wings if that dress was backless dont hide it it aint a secret everybody knows you fly fly fly i know you go up go up i wanna go up take me up i wanna go up take me up dont try to hide it everybody knows you fly oh i really ought to ask if i need a parachute or something cause if you take me way up there ill be scared to death of falling we can drive for miles till no one can see but just you and me im spending too much time on the ground baby please show me how how you do it and dont ever let me down dont try to hide it cause id see your wings if that dress was backless dont hide it it aint a secret everybody knows you fly fly fly i know you go up go up i wanna go up take me up i wanna go up take me up dont try to hide it everybody knows you fly gravitys blowing up my phone dont wanna answer them sidewalks calling to me gravitys calling my phone i cant answer aint no service way up here girl were 25 000 feet in the air baby if love was sky damn right im falling falling in love but going up dont try to hide it cause i see your wings if that dress looks fabulous dont hide it it aint a secret everybody knows you fly fly fly i know you go up you go up i wanna go up take me up i wanna go up take me up dont try to hide it everybody knows you fly show me how you do it how you show me up show me how you do it how you show me up show me how you do it how you show me up show me what show me what show me what 
FocuS,The Lonny Breaux Collection, yeah i know im probably wasting my time but listen yeah i got some shit on my mind i know its obvious that im the talk of the town you seem to move fame or get the money bringing you down everywhere i go its a media frenzy all they seem to care about is me kim or lindsey is the story real you dont even know do you even care yeah i thought so yeah yeah i know they wanna see me focus i gotta get back to the money im losing focus i gotta get back to the money yeah i know im probably wasting my time but listen yeah i got some shit on my mind i know its obvious that im the talk of the town you seem to move fame or get the money bringing you down everywhere i go its a media frenzy all they seem to care about is me kim or lindsey is the story real you dont even know do you even care yeah i thought so yeah yeah i know they wanna see me focus i gotta get back to the money im losing focus i gotta get back to the money im back at it automatic focus i gotta get back to the money im losing focus i gotta get back to the money 
Follow,The Lonny Breaux Collection, i looked you in the eyes i crossed my heart and hope to die i will never let them cry i held you in my arms said i wont let go until you feel youre ready told me on the phone something bout you love me ooh baby say it to my face i can have a place in your world kinda like your army your air force your peace core so baby follow follow follow tell me where you want to go just keep your boddy close and dont let go follow follow follow baby let me be the guide just listen for the signs and when i tell you right left switch it up ima take it slow ima take it slow oh baby stop there right there dont lose control dont lose control now baby look up at the star if you wanna go promise we can go you just gotta follow follow follow you just gotta follow follow follow ohh baby if you like we can go to paradise be back by the next sunrise and no i wont stay in rome i never go faster the limit and you told me on the phone said you wanna love me well baby tell me how it feels gotta have place in your world something like no other your lover your best friend ooh so baby follow follow follow tell me where you want to go just keep your body close and dont let go follow follow follow baby let me be the guide just listen for the signs and when i tell you right left switch it up ima take it slow ima take it slow oh baby stop there right there dont lose control dont lose control now baby look up at the star if you wanna go promise we can go you just gotta follow follow follow you just gotta follow follow follow left right switch it up oh we gotta pick it up now hell yea switch it up no we just cant let it fall down left quite get enough gotta keep your back arched up follow the leader baby girl its going down down down now move it right left switch it up ima take it slow ima take it slow oh baby baby stop there right there dont lose control dont lose control now baby look up at the star if you wanna go promise we can go you just gotta follow follow follow you just gotta follow follow follow 
Go Up,The Lonny Breaux Collection, yeah im hitchhiking love could you take me to the hills im not heavy no i promise i heard you could fly could you try we can drive for miles till no one can see but just you and me im spending too much time on the ground baby please show me how how you do it and dont ever let me down dont try to hide it cause id see your wings if that dress was backless dont hide it it aint a secret everybody knows you fly fly fly i know you go up go up i wanna go up take me up i wanna go up take me up dont try to hide it everybody knows you fly oh i really ought to ask if i need a parachute or something cause if you take me way up there ill be scared to death of falling we can drive for miles till no one can see but just you and me im spending too much time on the ground baby please show me how how you do it and dont ever let me down dont try to hide it cause id see your wings if that dress was backless dont hide it it aint a secret everybody knows you fly fly fly i know you go up go up i wanna go up take me up i wanna go up take me up dont try to hide it everybody knows you fly gravitys blowing up my phone dont wanna answer them sidewalks calling to me gravitys calling my phone i cant answer aint no service way up here girl were 25 000 feet in the air baby if love was sky damn right im falling falling in love but going up dont try to hide it cause i see your wings if that dress looks fabulous dont hide it it aint a secret everybody knows you fly fly fly i know you go up you go up i wanna go up take me up i wanna go up take me up dont try to hide it everybody knows you fly show me how you do it how you show me up show me how you do it how you show me up show me how you do it how you show me up show me what show me what show me what 
Got The Keys,The Lonny Breaux Collection, walked off the stage in the middle of the show i had to go i had to see her see her i must be nuts thats what they asked me i may be but oh i need her need her i need her yeah she got my air and im running im running low whered my driver go men i dont care i got the keys so im driving alone uh and try to be ready when i get there in front of your door oh baby get in im ready to breathe in that good air im dropping the top im lettin it in ohhh ohh ohh ohh ohh got the keys so were gone uh im burning out im showing off my heartbeat loud as my sixers sixers guys pull me over and then they ask me if i know im breaking the law i said yeah she got my air and im running im running low whered my driver go men i dont care i got the keys so im driving alone uh and try to be ready when i get there in front of your door oh baby get in im ready to breathe in that good air im dropping the top im lettin it in ohhh ohh ohh ohh ohh got the keys so were gone uh on my way im coming stick shift wont get in the groove but im coming traffic killing me barely can groove but i coming yeah im coming phone dead cant talk to you right now but im coming to get you coming im coming to get you coming im rushing cause im missing my boo my my baby you got what i what i i need oh my baby and try to be ready when i get there in front of your door oh baby get in im ready to breathe in that good air im dropping the top im lettin it in ohhh ohh ohh ohh ohh got the keys so were gone uh 
Greedy Love,The Lonny Breaux Collection, i hated every time we go out got everybody complimenting you you love attention from the big crowd feels like im on the sidelines right next to suckah and i am the buster girl whos this other guy thats sending you these flowers oh now you tell me your ex is your best friend call me crazy but all i want is you to myself to share with no one you can call it jealous but i call it my greedy love greedy loveee oh myyy greedy love the smile on your face when you got that text late at night wasnt cause of me who else could it be and why when your with your friends its always movie night or girls night feels like im ridin the bench right next to suckah and i am the buster girl on the dance floor youre showing off your best moves you see my blown fuse cause everybodys on you call me crazy but all i want is you to myself to share with no one you can call it jealous but i call it my greedy love greedy loveee oh myyy greedy love greedy loveee oh myyy greedy love the only thing i wish is all thats in your heart tho it seems like im nagging ohhhh is wanting only me too much to ask when all i want is you to myself to share with no one you can call it jealous but i call it my greedy love greedy loveee oh myyy greedy love greedy loveee oh myyy greedy love 
Hardest Thing,The Lonny Breaux Collection, maybe i should just be clear it sucks not having you here there aint a better way to say it other than how i just said it clear clear clear clear like a bottle of evian you can see through me my ego aint here so many clever words and nice things that i could say but the truth then and the truth now has been the same the hardest thing to say is what i aint saying and the best way to say it is to just say it i wanna run away from the words but i cant run away from the world cause the hardest thing to say is usually worth saying girl i love you still i try to go some months without a call i mean im an attractive guy and all maybe i could find something in the club or something in the mall mall mall but them girls didnt matter and this money aint distracting me much at all i know some clever words and nice things that i could say but the truth then and the truth now have been the same the hardest thing to say is what i aint saying and the best way to say it is to just say it i wanna run away from the words but i cant run away from the world cause the hardest thing to say is usually worth saying girl i love you girl i wanted to cry but i made it look easy to hold it in and save face and it was harder to stay so i made it look easy to just get up and walk away now im alone and the tears do fall open my mouth and the words do fall now im standing here after all with this broken heart the hardest thing to say is what i aint saying and the best way to say it is to just say it i wanna run away from the words but i cant run away from the world cause the hardest thing to say is usually worth saying girl i love you still 
Holly Baby,The Lonny Breaux Collection, oh oh ohh my ohh yeah yeah yeah ohh ohhh love love love yeah hollywoodhollywood heard you like to take the love thats why i came to town with only my brain holly babybabybaby yeah why do you drive a talent crazy crazy yeah when they call your home their home their home yeah and they come from far away to meet ya then you break their hearts in pieces they call your home their home their home yeahyeah and you drive em crazy holly babyholly baby hollywood oohh i met you on the tv screen you told me you were single and we talked about the weather babe you said it never rains in southern cali baby baby why do you drive a talent crazy yeahbaby yeah when they call your home their home their home yeah and they come from far away to meet ya then you break their hearts in pieces they call your home their home their home yeahyeah and you drive em crazy holly babyholly baby hollywood oohh yeah 
I Need Love,The Lonny Breaux Collection, ohh ohh every girl that i met on tour i knew none of them would last cause it wouldnt work nah it wouldnt work a hundred chic explaink contacts in my phone about half of them i smashed i put in work oh i put in work but theres something missin there though feels like ive gotta lambo with no gas to go and ive got all the world nothing to show that girl just let me know i need love yeah i need you yeah i need you i need love yeah i need you oh i need i need love in the morning in the afternoon i need love all night all night i need love need love need love need love need love two weeks ago i wouldve never admit i had it bad oh i wouldnt do it nah no cause 15 days ago never knew you so never knew how this felt had no clue i was too cool but now i cant go a day without ya i wake up eating breakfast thinking bout ya well go around the world dont ever go no dont ever leave me lone i wanna wake up from this dream no sleep full of dreams ill stay and i know itll work girl theres no where id rather be because i need baby in the night oh 
