track,album,lyrics
Stay If You Go,The Lonny Breaux Collection, my baby my sweet pumpkin pie my honey my darling my love i only really miss him when hes gone cause when were together we argue two thirds of the time and i miss him more than a fraction when we part oh oh youre calling me crazy saying im always complaining i tell you just leave me alone here you go youre packing your things and placing your sneakers im screaming get out but dont go dont go dont go dont go dont go i say that you should leave but dont go dont go dont go dont go dont go go go go go go go go sugar bunches of oats my buttered toast on the side my full serving of love and then its like whenever its just me and you you know i dont wanna fight but i know that you know my buttons and when to press them baby dammit oh oh youre calling me crazy saying im always complaining i tell you just leave me alone here you go youre packing your things and placing your sneakers im screaming get out but dont go dont go dont go dont go dont go i say that you should leave but dont go dont go dont go dont go dont go go go go go go go go i told you to go so why did you leave i beg you to stay i want you to go so why did you leave i told you to go so why did you stay i begged you to stay so why are you here you gotta leave boy you know i bet that someone sins before we go at it again its just gon happen i dont understand it my hearts sane but my minds going crazy but dont go dont go dont go dont go dont go i say that you should leave but dont go dont go dont go dont go dont go go go go go go go go i told you to go so why did you leave i beg you to stay i want you to go so why did you leave i told you to go so why did you stay i begged you to stay so why are you here i want you to leave oh just go no stay go stay go stay go stay 
Sucka For Love,The Lonny Breaux Collection, i seen him buy you a drink kissing holding hands why you looking at me i hope that you dont think that he is the only man that you getting freaky with when you sleeping at night shes creeping out its not you its us that shes worried about tryna help her help her shes just taking all your money she dont love ya love ya its so funny hes a sucker for love and im sorry for you her bodys fierce shes like scorpion her body said get over here if i knew she had a man i cant lie i still would hit it but i dont really understand how you blind and you cant see it when you sleeping at night shes creeping out its not you its us that shes worried about tryna help her help her shes just taking all your money she dont love ya love ya its so funny hes a sucker for love and im sorry for ya one day you gonna stop and you gonna get caught whether you like it or not you aint gone get far one day you gonna fall in love and someones gonna break your heart tryna help her help her shes just taking all your money she dont love ya love ya its so funny hes a sucker for love and im sorry for ya 
Sucker For Love,The Lonny Breaux Collection, i told her that i missed her put her on a plane goyard luggage just a product of the fame i told her that i dug her i wasnt running game and if she left a nigga i wouldnt be the same she met me at the w grabbed me by my chain then kissed me like she meant it so glad she came told me she was in love she wasnt running game and since she got off the plane she didnt feel the same i made a change for my baby a difference for love and i aint frontin feel like you were the one i got the ring girl if you want could have my name girl if you want see baby i been looking so long feel like you let me show you wasnt feeling the at all cause baby im a sucker for love a sucker for love girl im a sucker for love a sucker for love if you been searching too long you knew that other lover wasnt feeling the at all cause baby im a sucker for love a sucker for love a sucker for love a sucker for love so now were loving the winter flaming in the rain the only one im into never gonna change cause when i said i dug her i wasnt running game since she been rocking with me the crush has been insane shes a 1 of 1 d color vvs stone my precious youre my everything no please dont leave me lone she told me she was so sprung i never was a lame and that the feelings so good she wish that it would stay love said i only think about her when i wake up oh love we did for we did it for love love love see baby looking so long sure you wasnt feeling them at all a sucker for love been searching too long sure you wasnt feeling them at all a sucker for love love said i only think about her when i wake up oh love we did for we did it for love love love 
Surprise Ending,The Lonny Breaux Collection, i didnt notice the signs you covered both of my eyes the audience yellin damn shes blind now its all so clear and i was also not scared audience kept yellin not the space but i would be lyin recordin each take of cryin to stop the taping and i cant change it the suspense is buildin sittin on edge of my seat now whats the surprise whats the surprise whats the surprise while the plot was thickenin i was hangin off the cliff love you said its a surprise whats the surprise ending you didnt notice the signs you thought id just let it slide the audience yellin yeah thats right and now its not so clear you dont know how you missed me gone while you were gone stopped goin through your phone the audience yellin bout damn time but i would be lyin recordin each take of cryin to stop the taping and you cant change it the suspense is buildin sittin on edge of my seat now whats the surprise whats the surprise whats the surprise while the plot was thickenin i was hangin off the cliff love you said its a surprise whats the surprise ending everything was okay when i was the victim had me made out to be so naive never knew i was workin on a masterpiece so by the time you thought you had me yeah i worked on my grand finale yeah so now as the credits roll youre shocked to find out how it all unfolds the suspense is buildin sittin on edge of my seat now whats the surprise whats the surprise whats the surprise while the plot was thickenin i was hangin off the cliff love you said its a surprise whats the surprise ending you didnt notice the signs you thought id just let it slide yeah 
Taste,The Lonny Breaux Collection, damn you hungry i mean its cool want some more i built us a little gingerbread house you said you loved it i baked you a little gingerbread benz and you said you dug it i make stacks and stacks of cake in the bank bank you ate through em you ate through em you ate through em yeah yeah tell me how does that taste tell me how does that taste oh when i reup got you coming back when im running out you keep your bags packed all the newest shit and the benz i baked you tell me something baby baby i cant blame you when we first met i know you told me that your taste was crazy but sweetie you tell me now that youre craving said that gucci taste good but dior taste amazing baby we took chartered flights all around to taste those malls that you like most said the jetfuel taste like pink raspberry good credit a1 just like that sauce said you liked ruth chris way better lean back my seat watch your head go down tell me how does that taste tell me how does that taste oh when i reup got you coming back when im running out you keep your bags packed all the newest shit and the benz i baked you tell me something baby baby i cant blame you when we first met i know you told me that your taste was crazy but sweetie you tell me now that youre craving said that gucci taste good but dior taste amazing baby said that gucci taste good but dior taste amazing i know that youre going to love me as long as youre fed you said but i like you around just want to keep you here i got to know girl i aint running out i aint running out baby i cant blame you when we first met i know you told me that your taste was crazy but sweetie you tell me now that youre craving said that gucci taste good but dior taste amazing baby said that gucci taste good but dior taste amazing hey baby ive noticed you eat your jewelry for break hey baby noticed you eat your jewelry for break hey baby noticed you eat your jewelry for breakfast i swear its crazy 
The City,The Lonny Breaux Collection, give me my power i built this city got up in the car creeped in the steel please give me mine trees give em back give me tourists give me traffic give me noise just give it back could you bring back all my police give me order turn back on my lights give me fuel and water i think im begging cause now that everythings gone im needing mine im needing mine with the streets all dark it looks like my buildings are gone i made you the mayor of my town honey and im why you are the senate representative i gave you the key to my city gave you power over power over me give it to me give it back to me the city belongs to me the city is ours no more tell the government please give me funding cant you see that im doing bad give me floodgates give me levys too much water can you push it back how you just gon leave me out of of order i aint got no lights and no fuel to start up i know im begging cause now that everythings dried up im needing mine im needing mine and with the streets all dark the buildings look lost i made you the mayor of my town honey im why you are the senate representative i gave you the key to my city all power over power over me give it to me give it back to me the city belongs to me the city is ours no more we used to be sky high we used to be major we used to be sky high we used to be major baby major give it to me give it back to me the city mine baby this whole city is mine the city is mine honey give it to me give it back to me the city is mine oh baby the city is mine the city is mine 
Time Machine,The Lonny Breaux Collection, get on my bike and ima fly through time until im with you i promise im scared i guess i shouldnt be but im a boy in this adult body i know i said that we would grow old together but i havent and thats cost you years this is has been one of my fears thats has only ever caused you tears so time machine take me ahead till im with her gotta be with her with her with her cant let her live by herself oh time machine maybe we can take her with us long as im with her with her with aint living by herself lift off an goooo oooooh ooooooh i tried with all my might i peddled as fast as i could until the years just started to flicker our life all this i saw memories on both sides of the road i pointed them out as i went along right there were making out listening to pruple rain in the basement and just ahead i can see your heart falling but i cant save it this is has been one of my fears thats has only ever caused you tears so time machine take me ahead till im with her gotta be with her with her with her cant let her live by herself oh time machine maybe we can take her with us long as im with her with her with aint living by herself lift off an goooo oooooh ooooooh im on my way their to that time and place wish you could see all that i see now im headed toward you im wishin time could wait im a mile away so time machine take me ahead till im with her gotta be with her with her with her cant let her live by herself oh time machine maybe we can take her with us long as im with her with her with aint living by herself lift off an goooo oooooh ooooooh 
Together,The Lonny Breaux Collection, oh were in this together have a little faith oh you ought to know who you are oh were all children were all human were all breathing were all needing more than what their giving cant you feel it the space of whats missing you look up and they tell you its a godless sky a godless sky so you look down cause youve convinced yourself that this is all youve got all youve got but picture four billion hearts beating with you with ours picture four billion faces that high for love if theres one thing about this world i know its that were in it together youre not alone im not alone if theres one thing about this world i know were together were together i love you and i dont know you but i know the light in you is the same as in me i trust you like a brother cause you could understand the pain better than someone whos going through it you look up and they tell you its a godless sky a godless sky but dont you look down dont you convince yourself that this is all youve got all youve got just picture four billion hearts beating with you with ours picture four billion faces that high for love if theres one thing about this world i know its that were in it together youre not alone im not alone if theres one thing about this world i know were together ive searched the souls of my people for something to believe in oh not words that i could say but i heard them i heard them just picture four billion hearts beating with you with ours picture four billion faces that high for love if theres one thing about this world i know its that were in it together youre not alone im not alone if theres one thing about this world i know were together 
Tonight,The Lonny Breaux Collection, you didnt come out tonight so a man could talk to you just wore that dress cause you knew that wed all be watching you you got enough cash to buy your favorite drink too out with the girls for the night and us guys you give em the blues she said oohwoowoo you cant do nuttin for me you cant do nuttin for me thats kinda rude but i like your attitude its nothing personal girl i dont take it personal no no cause deep down inside those brown eyes ill see you tonight night at the end of the night night and all fuckin night night its gon be tonight night yeah and when the last songs played yo theyre gone yeah and youll be down youll be down you see if i was another type ida ran away from you off to the nearest one who woulda rolled because of who i am so tell me your name or somn she said is it game or somn you pullin the famous card its cute and all but not enough and when the last songs played yo theyre gone yeah and youll be down youll be down ohhhhhhhhh 
Truce,The Lonny Breaux Collection, taking turns with pressing ignore and we both come to the conclusion that theres no one we both love more back and forth emotional tug of war girl i love you but i just cant do this revolving door any longer im motion sick oh oh from going in circles what happened we were close where do we go no better yet how do we make it right this aint making sense no more yeah so i put my left hand on your waist right hand throwing the peace sign waving truce waving truce waving truce yeah i put my lips up on your face white rag up in the sky im waving truce waving truce waving truce truce im calling a truce truce calling a truce truce calling a truce calling a truce maybe its the me in you that i dislike the most ironically in the beginning thats what made us close and now thats the very reason were slamming doors but were both adults its time we get over it im motion sick oh oh from going in circles what happened we were close where do we go no better yet how do we make it right this aint making sense no more yeah so i put my left hand on your waist right hand throwing the peace sign waving truce waving truce waving truce yeah i put my lips up on your face white rag up in the sky im waving truce waving truce waving truce im calling a truce calling a truce if we stop this fighting we can dance all night in this bitch be no fighting if you keep on rocking that shit wont be no fighting im a throw the towel in cause i decided i like us way better like this yeah so i put my left hand on your waist right hand throwing the peace sign waving truce waving truce waving truce yeah i put my lips up on your face white rag up in the sky im waving truce waving truce waving truce im calling a truce calling a truce 
Wake Up,The Lonny Breaux Collection, just a just a just a dream from my lous im seeing colors turquoise ocean green hurricane silver yeah im falling down a well wish you were the water there just like a sun without a flame fell asleep without a dream i saw the light fade i let it drift away im in that air and its hard to breathe gravity wont hold my feet i saw my life flash by the very minute saw my lightning click click click in a little glass bottle said i saw my life flash by that very instant saw my lighting click click click in a little glass bottle got to save save me i know you see me fall i know youve come to die save save me my love is in the glass my life is in that bottle wake up wake up wake up wake up im in emerald city looking for wizard oz maybe he could tell me the way to your heart again i click my js three times wishing she wouldve stayed and then i thought i put her on a plane found a diamond for your ring the crows on saturn then im back in la i woke up she aint there levitating off the mattress baby where you at i said oh baby where you at i saw my life flash by the very minute saw my lightning click click click in a little glass bottle said i saw my life flash by that very instant saw my lighting click click click in a little glass bottle got to save save me i know you see me fall i know youve come to die save save me my love is in the glass my life is in that bottle wake up wake up wake up wake up its just a dream 
When I'm Done,The Lonny Breaux Collection, sitting next to your coffee table im trying to fix your cable box again said you couldnt get channel 4 and thats the only one you wanted to watch last week i was walking your dog baby scrubbing your dishes took your clothes to the cleaners i dont mind cause when im done when im done im gonna get every little bit of your love when im done when im done you gonna feel every little bit of my love making love on the coffee table knock all the magazines off yeah you spilled your wine all over the floor but guess who had to clean it up yeah last week i was washing your towels scrubbing your dishes took your clothes to the cleaners i dont mind cause when im done when im done im gonna get every little bit of your love when im done when im done you gonna feel every little bit of my love when im done when im done im gonna get every little bit of your love when im done when im done you gonna feel every little bit of my love well gimme some more baby gimme some more its never enough baby you gotta let me know you need something tell me something gather something to hold baby ill do it when im done when im done im gonna get every little bit of your love when im done when im done you gonna feel every little bit of my love when im done when im done im gonna get every little bit of your love when im done when im done you gonna feel every little bit of my love 
Start,Channel Orange, they look like twins that was embarrassing 
Thinkin Bout You,Channel Orange, a tornado flew around my room before you came excuse the mess it made it usually doesnt rain in southern california much like arizona my eyes dont shed tears but boy they pour when im thinkin bout you i been thinkin bout you i been thinkin bout you do you think about me still do you do you or do you not think so far ahead cause ive been thinkin bout forever or do you not think so far ahead cause ive been thinkin bout forever no i dont like you i just thought you were cool enough to kick it got a beach house i could sell you in idaho since you think i dont love you i just thought you were cute thats why i kissed you got a fighter jet i dont get to fly it though im lyin down thinkin bout you ive been thinkin bout you ive been thinkin bout you do you think about me still do you do you or do you not think so far ahead cause ive been thinkin bout forever or do you not think so far ahead cause i been thinkin bout forever yes of course i remember how could i forget how you feel you know you were my first time a new feel it wont ever get old not in my soul not in my spirit keep it alive well go down this road til it turns from color to black and white or do you not think so far ahead cause ive been thinkin bout forever or do you not think so far ahead cause ive been thinkin bout forever 
Fertilizer,Channel Orange, fertilizer ill take bullshit if thats all you got some fertilizer fertilizer 
Sierra Leone,Channel Orange, spendin too much time alone horses gallop to her throne were behaving like teenagers still inside our parents homes no i dont live in denver and her pink skies will keep me warm sierra leone sierra leone tid bits of intuition that i been gettin abandon admission abandon mission you must be kiddin this shit feelin different shit feelin too good to me glistening shimmerin underneath the sunlight the sunlight and a new day will bring about the dawn and a new day will bring another cryin babe into the world our daughters reachin for the nipple cause its time for her to eat tonight ill lay her in the cradle if its time for go to sleep i sing a lennon lullaby she can have a pretty dream baby girl if you knew what i know knew what i know na na na na na na na na na na na na 
Sweet Life,Channel Orange, the best song wasnt the single but you werent either livin in ladera heights the black beverly hills domesticated paradise palm trees and pools the waters blue swallow the pill keepin it surreal whatever you like whatever feels good whatever takes you mountain high keepin it surreal not sugarfree my tv aint hd thats too real grapevine mango peaches and limes the sweet life sweet life sweet life sweet life sweet life the sweet sweet sweet sweet life sweet life the sweet life sweetie pie youve had a landscaper and a house keeper since you were born the sunshine always kept you warm so why see the world when you got the beach dont know why see the world when you got the beach the sweet life the best song wasnt the single but you couldnt turn your radio down satellite need a receiver cant seem to turn the signal fully off transmitting the waves youre catching that breeze til youre dead in the grave but youre keepin it surreal whatever you like whatever feels good whatever takes you mountain high keepin it surreal not sugarfree my tv aint hd thats too real grapevines mango peaches and lime a sweet life a sweet life a sweet life yeah a sweet life a sweet life a sweet life live and die in the life youve had a landscaper and a house keeper since you were born yeah the sunshine always kept you warm so why see the world when you got the beach dont know why see the world when you got the beach and the water is exactly what i wanted its everything i thought it would be but this neighborhood is gettin trippier every day the neighborhood is goin ape shit crazy youve had a landscaper and a house keeper since you were born the sunshine always kept you warm so why see the world when you got the beach dont know why see the world when you got the beach the sweet life 
Not Just Money,Channel Orange, stop thinking of this as being money its just money ima make more no no no no no no please decondition yourself its not just money its happiness its the difference between happy being happy and sad its the difference between having a home and living on the streets thats what it is its not just money its so much more than that right now its the difference between you being able to go to a prom and disappointing a girl as i told you from the beginning i dont have money i have bills to pay but that meant nothing to you absolutely nothing lets see i have ooh yeah ima make myself a hot link when i get home it meant nothing to you savin my seven dollars 
Super Rich Kids,Channel Orange, too many bottles of this wine we cant pronounce too many bowls of that green no lucky charms the maids come around too much parents aint around enough too many joy rides in daddys jaguar too many white lies and white lines super rich kids with nothing but loose ends super rich kids with nothing but fake friends start my day up on the roof theres nothing like this type of view point the clicker at the tube i prefer expensive news new car new girl new ice new glass new watch good times babe its good times yeah she wash my back three times a day this shower head feels so amazing well both be high the help dont stare they just walk by they must dont care a million one a million two a hundred more will never do too many bottles of this wine we cant pronounce too many bowls of that green no lucky charms the maids come around too much parents aint around enough too many joy rides in daddys jaguar too many white lies and white lines super rich kids with nothing but loose ends super rich kids with nothing but fake friends real love im searching for a real love oh real love im searching for a real love oh real love close your eyes to what you cant imagine we are the xannygnashing caddysmashing bratty ass he mad he snatched his daddys jag and used the shit for batting practice adamant and he thrashing purchasing crappy grams with half the hand of cash you handed panic and patch me up pappy done latchkeyed us toying with raggy anns and mammy done had enough brash as fuck breaching all these aqueducts dont believe us treat us like we cant erupt yup polo sweats and hermes blankets them label hoes be stealing my shit and all they clothes revealing they tits pills high enough to touch the rim in that bitch we party in my living room cause father is gone and he left me this empire that runs on its own so all i got to do is whatever the fuck i want all we ever do is whatever the fuck we want we end our day up on the roof i say ill jump i never do but when im drunk i act a fool talking bout do they sew wings on tailored suits im on that ledge she grabs my arm she slaps my head its good times yeah sleeve rips off i slip i fall the markets down like 60 stories and some dont end the way they should my silver spoon has fed me good a million one a million cash close my eyes and feel the crash too many bottles of this wine we cant pronounce too many bowls of that green no lucky charms the maids come around too much parents aint around enough too many joy rides in daddys jaguar too many white lies and white lines super rich kids with nothing but loose ends super rich kids with nothing but fake friends real love aint that something rare im searching for a real love talking bout real love real love yeah real love im searching for a real love talking bout a real love 
Pilot Jones,Channel Orange, we once had things in common now the only thing we share is the refrigerator ice cold baby i told you im ice cold you out here flyin high go ahead fly that thing high high but fly alone you always smokin in the house what if my mother comes over you cant get up and get a job cause this little hustles getting you by youre the dealer and the stoner with the sweetest kiss ive ever known i know what i was on i had a pilot jones she took me high then she took me home pilot jones pilot jones tonight she came stumblin across my lawn again i just dont know why i keep on tryin to keep a grown woman sober see there you go reachin up your blouse and no i dont want a child but i aint been touched in a while by the dealer and the stoner with the sweetest kiss ive ever known i know what i was on i had a pilot jones she took me high then she took me home pilot jones pilot jones in the sky up above the birds i saw the sky like i never seen before you thought i was above you above this in so many ways but if i got a condo on a cloud then i guess you can stay at my place ima get one i need ya i admit it youre my pilot jones 
Crack Rock,Channel Orange, you dont know how little you matter until youre all alone in the middle of arkansas with a little rock left in that glass dick used to date a blonde you used to hit it raw cause she was and you are madly involved madly involved hittin stones in glass homes youre smokin stones in abandoned homes you hit them stones and broke your home crack rock crack rock crack rock crack rock hittin stones in glass homes youre smokin stones in abandoned homes youre hittin stones and broke your home crack rock crack rock crack rock crack rock youre shuckin and jivin stealin and robbin to get the fixing that youre itching for your family stopped inviting you to things wont let you hold their infant you used to get a little cutup from time to time but the freaks aint trying to sleep with cracky hittin stones in glass homes youre smokin stones in abandoned homes you hit them stones and you broke your home crack rock crack rock crack rock crooked cop dead cop how much dope can you push to me crooked cop dead cop no good for community fuckin pig get shot 300 men will search for me my brother get popped and dont no one hear the sound dont no one hear the rounds ooh sound dont no one hear the shells ooh shells dont no one hear a sound dont no one disturb the peace for riot dont no one disrupt nirvana dont no one wanna blow the high crack rock ooh crack rock ooh crack rock how you feeling girl hows the gutter doing crack rock 
Pyramids,Channel Orange, set the cheetahs on the loose theres a thief out on the move underneath our legions view they have taken cleopatra run run run come back for my glory bring her back to me run run run the crown of our pharaoh the throne of our queen is empty and well run to the future shining like diamonds in a rocky world a rocky rocky world our skin like bronze and our hair like cashmere as we march to the rhythm on the palace floor chandeliers inside the pyramids tremble from the force cymbals crash inside the pyramids voices fill up the halls set the cheetahs on the loose theres a thief out on the move underneath our legions view they have taken cleopatra cleopatra the jewel of africa what good is a jewel that aint still precious how could you run off on me how could you run off on us you feel like god inside that gold i found you laying down with samson and his full head of hair found my black queen cleopatra bad dreams cleopatra remove her send the cheetahs to the tomb our war is over our queen has met her doom no more she lives no more serpent in her room no more it has killed cleopatra cleopatra big sun coming strong through the motel blinds wake up to your girl for now lets call her cleopatra cleopatra i watch you fix your hair then put your panties on in the mirror cleopatra then your lipstick cleopatra then your six inch heels catch her shes headed to the pyramid shes working at the pyramid tonight working at the pyramid working at the pyramid tonight working at the pyramid working at the pyramid tonight working at the pyramid working at the pyramid tonight working at the pyramid working at the pyramid tonight working at the pyramid working at the pyramid tonight pimping in my convos bubbles in my champagne let it be some jazz playing top floor motel suite twisting my cigars floor model tv with the vcr got rubies in my damn chain whip aint got no gas tank but it still got woodgrain got your girl working for me hit the strip and my bills paid that keep my bills paid hit the strip and my bills paid keep a nigga bills paid shes working at the pyramid tonight working at the pyramid working at the pyramid tonight working at the pyramid working at the pyramid tonight working at the pyramid working at the pyramid tonight working at the pyramid you showed up after work im bathing your body touch you in places only i know youre wet and youre warm just like our bathwater can we make love before you go the way you say my name makes me feel like im that nigga but im still unemployed you say its big but you take it ride cowgirl but your love aint free no more baby but your love aint free no more shes working at the pyramid tonight working at the pyramid working at the pyramid tonight working at the pyramid thats right working at the pyramid tonight working at the pyramid working at the pyramid tonight working at the pyramid working at the pyramid tonight 
Lost,Channel Orange, double d big full breasts on my baby triple weight couldnt weight the love ive got for the girl and i just wanna know why you aint been goin to work boss aint workin you like this he cant take care of you like this now youre lost lost in the heat of it all girl you know youre lost lost in the thrill of it all miami amsterdam tokyo spain lost los angeles india lost on a train lost got on my buttercream silk shirt and its versace hand me my triple weight so i can weight the work i got on your girl no i dont really wish i dont wish the titties would show no have i ever have i ever let you get caught shes at a stove cant believe i got her out here cookin dope i promise shell be whippin meals up for a family of her own some day nothin wrong no nothin wrong with a lie nothin wrong with another short plane ride through the sky you and i love lost love love love lost love love love lost love love love lost faith is the substance then the other channel on the 
Monks,Channel Orange, mosh pits and bare chest stage diving sky diver spray the crowd with cold water now its mosh pits and wet tits i think i need a cold shower cool waters african girl speaks in english accent likes to fuck boys in bands likes to watch westerns and ride me without the hands show me her passport shes on her own tour but youre beautiful to me wave em high girl to the sky but youre beautiful to me wave em high girl to the sky but youre beautiful to me keep em high yall in the sky monks in the mosh pit stage diving dalai lama feet covered in cut flowers they mosh for enlightenment clean chakra good karma one with the water indian girl sleeps above the temple planning a run away young at heart you found a boyfriend and now you wanna get away get away just a virgin lover on a getaway getaway and at sunset theyre gonna try and get away get away abhaya mudra i never ask for much but please keep up lover weve got no choices left the runnings fast run run run run youre beautiful to me run run run run youd better run you mean so much to me in my world we made it safely even with your fathers army trailing us we escaped him even with his archers bows at our backs what a great escape but theres a long way still in fact were lost in a jungle underneath these clouds theres a monsoon that never ends a coke white tiger woke us from our slumber to guide and protect us til the end were in the clouds wave em high now to the sky but youre beautiful to me keep em high yall show you right but youre beautiful to me beautiful 
Bad Religion,Channel Orange, taxi driver be my shrink for the hour leave the meter running its rush hour so take the streets if you wanna just outrun the demons could you he said allahu akbar i told him dont curse me but boy you need prayer i guess it couldnt hurt me if it brings me to my knees its a bad religion this unrequited love to me its nothing but a oneman cult and cyanide in my styrofoam cup i could never make him love me never make him love me love love taxi driver i swear ive got three lives balanced on my head like steak knives i cant tell you the truth about my disguise i cant trust no one and you say allahu akbar i told him dont curse me but boy you need prayer i guess it couldnt hurt me if it brings me to my knees its a bad religion this unrequited love to me its nothing but a oneman cult and cyanide in my styrofoam cup i could never make him love me never make him love me no no its a bad religion to be in love with someone who could never love you only bad only bad religion could have me feeling the way i do 
Pink Matter,Channel Orange, and the peaches and the mangos that you could sell for me what do you think my brain is made for is it just a container for the mind this great grey matter sensei replied what is your woman is she just a container for the child that soft pink matter cotton candy majin buu close my eyes and fall into you my god shes giving me pleasure what if the sky and the stars are for show and the aliens are watching live from the purple matter sensei went quiet then violent and we sparred until we both grew tired nothing mattered cotton candy majin buu dim the lights and fall into you you you my god giving me pleasure pleasure pleasure pleasure pleasure over matter since you been gone i been having withdrawals you were such a habit to call i aint myself at all had to tell myself naw shes better with some fella with a regular job i didnt wanna get her involved by dinner mr benjamin was sittin in awe hopped into my car drove far fars too close and i remember my memories no sharp butter knife what a life anyway im building yall a clock stop what am i hemingway she had the kind of body that would probably intimidate any of em that were unsouthern not me cousin if models are made for modeling thick girls are made for cuddlin switch worlds and we can huddle then who needs another friend i need to hold your hand youd need no other man wed flee to other lands grey matter blue used to be my favorite color now i aint got no choice blue matter youre good at being bad youre bad at being good for heavens sakes go to hell knock knock on wood youre good at being bad youre bad at being good for heavens sakes go to hell knock on wood for heavens sakes go to hell knock knock knock knock on wood well frankly when that ocean so mahfuckin good make her swab the mahfuckin wood make her walk the mahfuckin plank make her rob a mahfuckin bank with no mask on and a rusty revolver 
Forrest Gump,Channel Orange, i wanna see your pom poms from the stands come on come on my fingertips and my lips they burn from the cigarettes forrest gump you run my mind boy running on my mind boy forrest gump i know you forrest i know you wouldnt hurt a beetle but youre so buff and so strong im nervous forrest forrest gump my fingertips and my lips they burn from the cigarettes forrest gump you run my mind boy running on my mind boy forrest gump i saw your game forrest i was screamin run 44 but you kept runnin past the end zone oh whered you go forrest forrest gump my fingertips and my lips they burn from the cigarettes forrest gump you run my mind boy running on my mind boy forrest gump forrest green forrest blues im rememberin you if this is love i know its true i wont forget you its for you forrest its for you forrest forrest gump 
End,Channel Orange, darker times theyre telling boulder heavy lies looks like all weve got is each other the truth is obsolete remember when all i had was my mother she didnt compromise she could recognize voodoo our daughters and our sons are just candles in the sun voodoo dont let him see divide dont you let her see divide voodoo shes got the whole wide world in her juicy fruit hes got the whole wide world in his pants he wrapped the whole wide world in a wedding band then put the whole wide world on her hands shes got the whole wide world in her hands hes got the whole wide world in his hands theres somethin about you i cant believe im even talking to you tellin me this right now youre special i wish you could see what i see 
Golden Girl,Channel Orange, she peels an orange for us in the mornin she woke me up to give me half i can hear the children soccer ballin like wildcats running on the grass youre a girl on this island im a boy from america my flight leaves tonight but i dont think im goin backwards i wont be goin backwards youre my golden girl youre the one ive chosen girl youre 24k you make it bright when its gray youre my golden girl the sun has been kind to you youre 24k but the skys never gray silent moments meditative poses you break my focus you make me laugh two mopeds racin through the forest making dirt clouds on a path on a path im my best on this island im a mess in america my flight left last night but i know im not goin back home im not goin back home noohhhhhhhh if we build a house in paradise will we get to heaven still if we dont have to live through hell just to get to heaven ima stay right here with you til the hurricane comes til the tsunami comes ive found my golden umm youre my go ld en gi rl and thats for the females that cant spell but thanks for fuckin with me you turn my dark into light youre like a bucket of bleach you see i want you to know that my negatives at home arent workin for my kodak so that means that i dont want to go back just know that i would like to stay here and hold that hand of yours girl im a wreck in america your face is the best cause its the same color as the lace on my neck and youre golden uh your eyes open fuck it lets toast and listen to michael bolton i freefall off the hill again lets see where i land im like gilligan umm i trust you golden for what when im just hopin that you dont turn my neck green 
Device Control,Endless, with this apple appliance you can capture live videos still motion pictures shot at high frequency blurring blurring the line with this apple appliance you can capture live videos still motion pictures shot at high frequency blurring blurring the line between still and motion with this apple device you can blur the border between still and motion pictures you can blur the border between still and motion pictures with this sony telephone 4k video is in your palm it is in your palm in your palm in your hand in your hand with your eyes with your eyes you can capture real 4k with this samsung telephone we dont call it telephone i think i saw bill describing life interactivity life sharing live posting streaming off your videos the new samsung galaxy allows you to livestream your life livestream your life livestream your life you can blur the border between still and motion pictures you can still stream you life your life can be streamed in endless communication we all show interest in every bodys life your life can be streamed life your life can be streamed life life you can blur the border between still and motion pictures you can blur the border between still and motion pictures you can blur the border between still and motion pictures you can blur the border with this device the border between still and motion pictures is absolutely blurred think of the possibilities think of the possibilities think of the possibilities with this think of the possibilities with this device stream your life its possible streaming life in this device is possible streaming life in this device is possible streaming life in this device is possible streaming life in this device is possible streaming life in this device is possible its in your palm dreams of pleasure in your hand this device in your hand streaming life in streams of pleasure blurred still and motion audio your life is an active stream of life this stream of life on this device is causing an interactive stream of life this stream of life on this device is causing a streamed life a live stream of my life is caused by this device by this device an internet scheiã ja so ein groães device das schafft einen stream of life 
(At Your Best) You Are Love,Endless, when i feel what i feel sometimes its hard to tell you so you may not be in the mood to learn what you think you know there are times when i find you wanna keep yourself from me when i dont have the strength im just a mirror of what i see but at your best you are love youre a positive motivating force within my life if you ever feel the need to wonder why let me know let me know let me know when you feel what you feel its hard for me to understand so many things have taken place before this love affair began but if you feel more like i feel confusion can give way to doubt for there are times when i fall short of what i say what i say im all about but at your best you are love youre a positive motivating force within my life if you ever feel the need to wonder why let me know let me know let me know let me know you niggas goin in tell me what it is what it is no need to make believe look beyond your world try to find find a place for me cause when youre at your best you are love youre a positive motivating force within my life should you ever feel the need to wonder why let me know let me know let me know know stay at your best baby let me know let me know gonna be somebody oh i follow oh and its so cloudy i see the light dance tonight a life i never knew tell me what you need from me gas money and i did what i needed to to become hope the waters deep enough weve been here before first time is not the best time i aint felt this way in years first i was rushing forward this time im waiting for the rush infatuations a rush yeah yeah yeah keep pushing on never let it stop oh i miss a beat bind all of us to him i love the way you make me feel me you and you and me i wake up in a week wake me up in a week i wont sit still i wont sit still im getting used to it yeah youre going to get used to it i love the way you make me feel 
